Sentence,Technique,Span,article_id,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
A Texas mother’s teenage son was allegedly attacked at a Whataburger for wearing a MAGA (Make America Great Again) hat.,Slogans,Make America Great Again,769752554,,,,,,,,,,,,,,,
A Texas mother’s teenage son was allegedly attacked at a Whataburger for wearing a MAGA (Make America Great Again) hat.,Repetition,MAGA,769752554,,,,,,,,,,,,,,,
A Texas teenager who supports President Trump says he was assaulted by a drink-throwing stranger at a Whataburger restaurant -- all because he was wearing a “Make America Great Again” hat.,Slogans,“Make America Great Again”,769682854,,,,,,,,,,,,,,,
A Texas teenager who supports President Trump says he was assaulted by a drink-throwing stranger at a Whataburger restaurant -- all because he was wearing a “Make America Great Again” hat.,"Exaggeration,Minimisation",all because,769682854,,,,,,,,,,,,,,,
"A US embassy worker in China has reported experiencing ""abnormal sensations of sounds and pressure"" amid fears of a ""sonic attack"".",Repetition,"""sonic attack""",758477392,,,,,,,,,,,,,,,
"A Vatican investigation found Karadima guilty in 2011 and sentenced him to a life of seclusion in a monastery for “penitence and prayer.” Note that date; 2011 was when the processes for investigating and trying priest-abusers, put in place by the former Cardinal Ratzinger, were still in effect, and while he was still sitting on the Petrine throne.","Name_Calling,Labeling",priest-abusers,725498022,,,,,,,,,,,,,,,
A West Virginia school has come under fire for instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy.,"Exaggeration,Minimisation",under fire,757243988,,,,,,,,,,,,,,,
A big mystery.,Repetition,A big mystery,728972961,,,,,,,,,,,,,,,
A blind man could see what was happening.,"Exaggeration,Minimisation",A blind man could see what was happening,701837665,,,,,,,,,,,,,,,
"A brief recap of Jamie's story: on Sept. 11, the 17th Anniversary of the 9/11 terror strike, Facebook's Unholy Alliance masters informed Jamie that he was suspended from Facebook for 30 days due to his posting of his article, 9 Steps to Successfully Counter Jihad, which Facebook informed him violated their ""community standards.""","Name_Calling,Labeling",Facebook's Unholy Alliance masters,787002327,,,,,,,,,,,,,,,
A caller to the Michael Savage radio show who says he was neighbors with Las Vegas gunman Stephen Paddock asserts that Paddock could not have carried out the massacre and that it was actually a “set-up”.,Black-and-White_Fallacy,Paddock could not have carried out the massacre,694811415,,,,,,,,,,,,,,,
A couple of seemingly unrelated events this past week point to Iran’s positioning itself for more aggressive military actions that could place U.S. forces in harm’s way.,Appeal_to_fear-prejudice,point to Iran’s positioning itself for more aggressive military actions that could place U.S. forces in harm’s way,699478811,,,,,,,,,,,,,,,
"A crook and an economic Leftist, who betrayed Taiwan for the People’s Republic; his record certainly isn’t good.","Name_Calling,Labeling",crook and an economic Leftist,762340819,,,,,,,,,,,,,,,
"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Appeal_to_fear-prejudice,"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall",696694316,,,,,,,,,,,,,,,
"A day after the Guardian smear piece the Washington Times reported that Manafort's passports, entered into evidence by the Mueller prosecution, show that he did not visit London in any of the years the Guardian claimed he was there to visit Assange.","Name_Calling,Labeling",Guardian smear piece,999001621,,,,,,,,,,,,,,,
A disgraceful verdict in the Kate Steinle case!,Loaded_Language,disgraceful verdict,711596363,,,,,,,,,,,,,,,
"A few health experts have warned that there is no threat to the UK, however, some have warned the plague outbreak will certainly spread to the region.",Appeal_to_Authority,some have warned the plague outbreak will certainly spread to the region,706777811,,,,,,,,,,,,,,,
A former CIA director compared US immigration policy to Nazi Germany in an ominous Tweet.,"Bandwagon,Reductio_ad_hitlerum",compared US immigration policy to Nazi Germany,765029945,,,,,,,,,,,,,,,
"A former administration official told CNN that reports suggesting they were planning to restore Iran's access to the US financial system ""were absolutely false,"" that the license was ""totally in line with our well-known obligations under the deal.""","Exaggeration,Minimisation",totally,762200179,,,,,,,,,,,,,,,
"A former administration official told CNN that reports suggesting they were planning to restore Iran's access to the US financial system ""were absolutely false,"" that the license was ""totally in line with our well-known obligations under the deal.""","Exaggeration,Minimisation",absolutely,762200179,,,,,,,,,,,,,,,
"A gird failure would almost immediately fling the United States into a state of panic, and it’s always good to be prepared just in case.",Appeal_to_fear-prejudice,"A gird failure would almost immediately fling the United States into a state of panic, and it’s always good to be prepared just in case",731178960,,,,,,,,,,,,,,,
A great injustice has been done.,Loaded_Language,A great injustice has been done,711596363,,,,,,,,,,,,,,,
"A handful of Democrat senators, including the perpetually vulnerable red-state senator, Joe Manchin of West Virginia, are reportedly considering voting to confirm Kavanaugh when the nomination goes before the full Senate.","Name_Calling,Labeling",perpetually vulnerable red-state senator,790677230,,,,,,,,,,,,,,,
"A handful of Democratic lawmakers alarmed at the prospect of being exposed as frauds and publicly humiliated wrote Director of National Intelligence Daniel Coats, Deputy Attorney General Rod Rosenstein, and FBI Director Christopher Wray on Tuesday.",Loaded_Language,alarmed at the prospect of being exposed as frauds and publicly humiliated,788173482,,,,,,,,,,,,,,,
"A hat signed by @realDonaldTrump,” Joe Gallow wrote on Twitter.",Repetition,signed by @realDonaldTrump,771546417,,,,,,,,,,,,,,,
A hat signed by @realDonaldTrump.,Repetition,signed by @realDonaldTrump,771546417,,,,,,,,,,,,,,,
A jihad group explained it back in 2012: “The month of Ramadan is a month of holy war and death for Allah.,Loaded_Language,holy war and death for Allah,759468687,,,,,,,,,,,,,,,
"A litany of lives of total moral, physical, emotional devastation suffered by victims of homosexual clerics.",Loaded_Language,devastation,780619695,,,,,,,,,,,,,,,
A moral catastrophe is self-evidently underway and it is not possible honestly to deny its cause.,Appeal_to_fear-prejudice,A moral catastrophe is self-evidently underway and it is not possible honestly to deny its cause,697454736,,,,,,,,,,,,,,,
"A much ballyhooed flight to Singapore, backslapping a delighted Kim, and a love-fest between the two chunky leaders was sold to Americans as the dawn of peace.","Name_Calling,Labeling",chunky,766942310,,,,,,,,,,,,,,,
"A much ballyhooed flight to Singapore, backslapping a delighted Kim, and a love-fest between the two chunky leaders was sold to Americans as the dawn of peace.",Loaded_Language,was sold to,766942310,,,,,,,,,,,,,,,
"A much ballyhooed flight to Singapore, backslapping a delighted Kim, and a love-fest between the two chunky leaders was sold to Americans as the dawn of peace.",Loaded_Language,love-fest,766942310,,,,,,,,,,,,,,,
"A much ballyhooed flight to Singapore, backslapping a delighted Kim, and a love-fest between the two chunky leaders was sold to Americans as the dawn of peace.","Name_Calling,Labeling",delighted,766942310,,,,,,,,,,,,,,,
"A much ballyhooed flight to Singapore, backslapping a delighted Kim, and a love-fest between the two chunky leaders was sold to Americans as the dawn of peace.",Loaded_Language,much ballyhooed,766942310,,,,,,,,,,,,,,,
"A number of good Catholics have written to ask for a personal accounting on my part, inquiring whether I was made aware in my time in Newark of the 2005 and 2007 settlements involving Archbishop McCarrick, or if I knew of any allegations against him.","Name_Calling,Labeling",good Catholics,778664280,,,,,,,,,,,,,,,
A point that Dreher’s informants have brought up needs to be made emphatic: the homosexualist cabal that is currently reported to be dominant in the Catholic hierarchy (and don’t imagine this is confined to the United States or even to the English speaking world) have a well documented methodology of mutual protection-and-threat that keeps the whole apparatus afloat.,"Name_Calling,Labeling",homosexualist cabal,773937361,,,,,,,,,,,,,,,
A police report was filed and a man was fired for stealing the hat and the assault (throwing a drink in a Trump supporter’s face.),Repetition,Trump supporter’,769752554,,,,,,,,,,,,,,,
A police report was filed and a man was fired for stealing the hat and the assault (throwing a drink in a Trump supporter’s face.),"Name_Calling,Labeling",Trump supporter,769752554,,,,,,,,,,,,,,,
"A preliminary report on the shooting released by the LVMPD on Friday only lists seven victims as being “placed” outside of the venue, two of which were over a half mile away.","Exaggeration,Minimisation",placed”,724095467,,,,,,,,,,,,,,,
"A professor at Southern New Hampshire University failed one of her student's assignments because the professor incorrectly thought Australia ""is not a country,"" according to a report in BuzzFeed News.",Doubt,"the professor incorrectly thought Australia ""is not a country",729561658,,,,,,,,,,,,,,,
"A quick examination of Muller’s interviews and statements reveal an irresolute and ultimately calculating mind of a man who is – so I am told by sources close to him – motivated mainly by a puerile desire to be approved of by the “cool kids” in the Vatican, on the one hand, and an unshakeable conviction of his own theological brilliance on the other.",Loaded_Language,the “cool kids,703698295,,,,,,,,,,,,,,,
